Area name,Year,Count
North Wales Economic Ambition Board,2019,12096
Swansea Bay City Region,2019,11624
Greater London Authority,2020,259315
Inner London,2020,124065
Outer London,2020,135250
Greater Manchester Combined Authority,2020,50421
South Yorkshire Mayoral Combined Authority,2020,23167
West Yorkshire Combined Authority,2020,40612
Liverpool City Region Combined Authority,2020,27224
Tees Valley Combined Authority,2020,11434
West Midlands Combined Authority,2020,47095
Cambridgeshire and Peterborough Combined Authority,2020,18689
West of England Combined Authority,2020,19823
York and North Yorkshire Combined Authority,2020,4109
East Midlands Combined Authority,2020,39616
North East Combined Authority,2020,34033
Greater Brighton City Region,2020,22102
Cardiff Capital Region,2020,26816
Growing Mid Wales,2020,3712
North Wales Economic Ambition Board,2020,12357
Swansea Bay City Region,2020,11964
Greater London Authority,2021,269968
Inner London,2021,129413
Outer London,2021,140554
Greater Manchester Combined Authority,2021,52048
South Yorkshire Mayoral Combined Authority,2021,23788
West Yorkshire Combined Authority,2021,41694
Liverpool City Region Combined Authority,2021,27836
Tees Valley Combined Authority,2021,11676
West Midlands Combined Authority,2021,48464
Cambridgeshire and Peterborough Combined Authority,2021,19430
West of England Combined Authority,2021,20767
York and North Yorkshire Combined Authority,2021,4219
East Midlands Combined Authority,2021,40730
North East Combined Authority,2021,34899
Greater Brighton City Region,2021,22916
Cardiff Capital Region,2021,27477
Growing Mid Wales,2021,3784
North Wales Economic Ambition Board,2021,12531
Swansea Bay City Region,2021,12156
